spkid,H,diameter,e,a,q,i,ad,albedo,spec_B,main_class
20000295,10.06,28.34,0.1674,2.799,2.33,2.7,3.27,0.171,S,S-type
20000306,8.79,47.2,0.152,2.357,1.999,7.28,2.72,0.201,S,S-type
20000310,10.21,33.708,0.117,2.761,2.438,3.17,3.08,0.115,S,S-type
20000312,8.99,46.191,0.1603,2.782,2.336,9.03,3.23,0.23,Sk,S-type
20000321,10.12,27.974,0.0477,2.888,2.75,2.58,3.03,0.425,S,S-type
20000327,10.06,30.291,0.0621,2.779,2.606,7.13,2.95,0.214,Sl,S-type
20000339,9.42,44.329,0.1015,3.011,2.706,9.95,3.32,0.198,K,S-type
20000342,10.29,64.266,0.1305,2.569,2.234,7.35,2.9,0.035,Ch,C-type
20000345,9.09,90.243,0.0614,2.325,2.182,9.74,2.47,0.052,Ch,C-type
20000346,7.38,86.447,0.103,2.795,2.507,8.76,3.08,0.332,S,S-type
20000349,6.04,139.77,0.0889,2.925,2.664,8.25,3.18,0.384,R,S-type
20000352,10.13,26.744,0.1493,2.194,1.867,3.38,2.52,0.195,Sl,S-type
20000353,10.96,14.025,0.3277,2.735,1.839,5.71,3.63,0.392,S,S-type
20000354,6.15,148.97,0.1116,2.8,2.487,18.36,3.11,0.201,Sl,S-type
20000355,10.32,24.04,0.1065,2.537,2.267,4.29,2.81,0.341,S,S-type
20000358,9.17,90.116,0.152,2.876,2.439,3.55,3.31,0.05,Ch,C-type
20000366,8.69,86.368,0.0578,3.149,2.967,10.56,3.33,0.091,Ch,C-type
20000371,8.77,52.976,0.0628,2.726,2.555,7.4,2.9,0.234,S,S-type
20000374,8.82,44.67,0.0796,2.782,2.561,8.99,3.0,0.3014,S,S-type
20000376,9.6,35.465,0.1726,2.288,1.893,5.43,2.68,0.321,Sl,S-type
20000377,9.13,90.346,0.0753,2.691,2.488,6.68,2.89,0.06,Ch,C-type
20000378,9.83,27.831,0.1299,2.776,2.415,7.01,3.14,0.339,S,S-type
20000384,9.41,34.435,0.1454,2.653,2.267,5.59,3.04,0.192,S,S-type
20000387,7.54,100.51,0.2373,2.739,2.089,18.14,3.39,0.19,L,S-type
20000389,7.99,74.378,0.0661,2.608,2.435,8.12,2.78,0.225,S,S-type
20000391,10.88,15.751,0.3052,2.321,1.612,23.2,3.03,0.29,S,S-type
20000392,9.74,60.75,0.1385,2.886,2.486,14.32,3.29,0.173,Ch,C-type
20000394,9.76,29.97,0.2282,2.761,2.131,6.22,3.39,0.294,S,S-type
20000395,10.55,44.189,0.0837,2.787,2.553,3.36,3.02,0.033,Ch,C-type
20000397,9.39,49.032,0.2477,2.634,1.982,12.87,3.29,0.139,K,S-type
20000402,9.12,55.421,0.1121,2.559,2.272,11.83,2.85,0.164,K,S-type
20000403,9.06,53.574,0.0982,2.809,2.533,9.16,3.09,0.173,S,S-type
20000404,9.13,94.97,0.2015,2.593,2.07,14.1,3.11,0.037,Ch,C-type
20000405,8.84,108.894,0.2434,2.584,1.955,11.94,3.21,0.018,Ch,C-type
20000410,8.47,118.929,0.2407,2.724,2.068,10.96,3.38,0.043,Ch,C-type
20000416,7.78,85.47,0.2181,2.798,2.188,12.86,3.41,0.1689,Sl,S-type
20000432,9.11,46.9,0.1456,2.369,2.024,12.12,2.71,0.2338,S,S-type
20000433,10.41,16.84,0.2227,1.458,1.133,10.83,1.78,0.25,S,S-type
20000442,9.98,62.171,0.0705,2.345,2.18,6.07,2.51,0.044,Ch,C-type
20000443,10.12,25.504,0.0397,2.215,2.127,4.24,2.3,0.21,Sl,S-type
20000453,10.62,23.985,0.1089,2.183,1.945,5.55,2.42,0.137,S,S-type
20000456,9.14,37.713,0.1832,2.783,2.273,14.49,3.29,0.286,S,S-type
20000458,9.78,36.698,0.2432,2.991,2.264,12.66,3.72,0.191,L,S-type
20000460,10.76,19.689,0.1039,2.719,2.436,4.64,3.0,0.262,K,S-type
20000462,9.34,34.274,0.0872,2.873,2.622,3.19,3.12,0.259,S,S-type
